날짜,지역,차수,연령대,지표,값
2021-02-26,서울,2차,65세이상,건수,330.0
2021-02-26,서울,2차,65세이상,접종률,0.019131621497681307
2021-02-26,서울,2차,6개월-4세,건수,0.0
2021-02-26,서울,2차,6개월-4세,접종률,0.0
2021-02-26,서울,3차,12-64세,건수,0.0
2021-02-26,서울,3차,12-64세,접종률,0.0
2021-02-26,서울,3차,5-11세,건수,0.0
2021-02-26,서울,3차,5-11세,접종률,0.0
2021-02-26,서울,3차,65세이상,건수,0.0
2021-02-26,서울,3차,65세이상,접종률,0.0
2021-02-26,서울,3차,6개월-4세,건수,0.0
2021-02-26,서울,3차,6개월-4세,접종률,0.0
2021-02-26,세종,1차,12-64세,건수,126.0
2021-02-26,세종,1차,12-64세,접종률,0.043909170743946804
2021-02-26,세종,1차,5-11세,건수,0.0
2021-02-26,세종,1차,5-11세,접종률,0.0
2021-02-26,세종,1차,65세이상,건수,17.0
2021-02-26,세종,1차,65세이상,접종률,0.03974841590871893
2021-02-26,세종,1차,6개월-4세,건수,0.0
2021-02-26,세종,1차,6개월-4세,접종률,0.0
2021-02-26,세종,2차,12-64세,건수,24.0
2021-02-26,세종,2차,12-64세,접종률,0.008363651570275582
2021-02-26,세종,2차,5-11세,건수,0.0
2021-02-26,세종,2차,5-11세,접종률,0.0
2021-02-26,세종,2차,65세이상,건수,4.0
2021-02-26,세종,2차,65세이상,접종률,0.009352568449110338
2021-02-26,세종,2차,6개월-4세,건수,0.0
2021-02-26,세종,2차,6개월-4세,접종률,0.0
2021-02-26,세종,3차,12-64세,건수,0.0
2021-02-26,세종,3차,12-64세,접종률,0.0
2021-02-26,세종,3차,5-11세,건수,0.0
2021-02-26,세종,3차,5-11세,접종률,0.0
2021-02-26,세종,3차,65세이상,건수,0.0
2021-02-26,세종,3차,65세이상,접종률,0.0
2021-02-26,세종,3차,6개월-4세,건수,0.0
2021-02-26,세종,3차,6개월-4세,접종률,0.0
2021-02-26,울산,1차,12-64세,건수,225.0
2021-02-26,울산,1차,12-64세,접종률,0.026894830454988812
2021-02-26,울산,1차,5-11세,건수,0.0
2021-02-26,울산,1차,5-11세,접종률,0.0
2021-02-26,울산,1차,65세이상,건수,14.0
2021-02-26,울산,1차,65세이상,접종률,0.0079244684945774
2021-02-26,울산,1차,6개월-4세,건수,0.0
2021-02-26,울산,1차,6개월-4세,접종률,0.0
2021-02-26,울산,2차,12-64세,건수,64.0
2021-02-26,울산,2차,12-64세,접종률,0.007650085107196818
2021-02-26,울산,2차,5-11세,건수,0.0
2021-02-26,울산,2차,5-11세,접종률,0.0
2021-02-26,울산,2차,65세이상,건수,8.0
2021-02-26,울산,2차,65세이상,접종률,0.004528267711187086
2021-02-26,울산,2차,6개월-4세,건수,0.0
2021-02-26,울산,2차,6개월-4세,접종률,0.0
2021-02-26,울산,3차,12-64세,건수,0.0
2021-02-26,울산,3차,12-64세,접종률,0.0
2021-02-26,울산,3차,5-11세,건수,0.0
2021-02-26,울산,3차,5-11세,접종률,0.0
2021-02-26,울산,3차,65세이상,건수,0.0
2021-02-26,울산,3차,65세이상,접종률,0.0
2021-02-26,울산,3차,6개월-4세,건수,0.0
2021-02-26,울산,3차,6개월-4세,접종률,0.0
2021-02-26,인천,1차,12-64세,건수,1024.0
2021-02-26,인천,1차,12-64세,접종률,0.04602321655541393
2021-02-26,인천,1차,5-11세,건수,0.0
2021-02-26,인천,1차,5-11세,접종률,0.0
2021-02-26,인천,1차,65세이상,건수,186.0
2021-02-26,인천,1차,65세이상,접종률,0.037167218513271295
2021-02-26,인천,1차,6개월-4세,건수,0.0
2021-02-26,인천,1차,6개월-4세,접종률,0.0
2021-02-26,인천,2차,12-64세,건수,149.0
2021-02-26,인천,2차,12-64세,접종률,0.006696737565192066
2021-02-26,인천,2차,5-11세,건수,0.0
2021-02-26,인천,2차,5-11세,접종률,0.0
2021-02-26,인천,2차,65세이상,건수,47.0
2021-02-26,인천,2차,65세이상,접종률,0.009391716506041672
2021-02-26,인천,2차,6개월-4세,건수,0.0
2021-02-26,인천,2차,6개월-4세,접종률,0.0
2021-02-26,인천,3차,12-64세,건수,0.0
2021-02-26,인천,3차,12-64세,접종률,0.0
2021-02-26,인천,3차,5-11세,건수,0.0
2021-02-26,인천,3차,5-11세,접종률,0.0
2021-02-26,인천,3차,65세이상,건수,0.0
2021-02-26,인천,3차,65세이상,접종률,0.0
2021-02-26,인천,3차,6개월-4세,건수,0.0
2021-02-26,인천,3차,6개월-4세,접종률,0.0
2021-02-26,전남,1차,12-64세,건수,1941.0
2021-02-26,전남,1차,12-64세,접종률,0.16139573635869267
2021-02-26,전남,1차,5-11세,건수,0.0
2021-02-26,전남,1차,5-11세,접종률,0.0
2021-02-26,전남,1차,65세이상,건수,196.0
2021-02-26,전남,1차,65세이상,접종률,0.04131194948138749
2021-02-26,전남,1차,6개월-4세,건수,0.0
2021-02-26,전남,1차,6개월-4세,접종률,0.0
2021-02-26,전남,2차,12-64세,건수,45.0
2021-02-26,전남,2차,12-64세,접종률,0.0037417867780222412
